timestamp,network,station,channel,location,peak_ratio,duration,peak_amplitude,rms_amplitude,dominant_frequency,spectral_centroid,is_significant,magnitude_estimate,amplitude_ratio,freq_amplitude_product,duration_ratio
1735000000000,IU,COLA,BHZ,0,6.258057363288252,38.787625210949656,6.759759642668091e-05,2.881379597503784e-05,6.20771504402291,5.537798678544754,0,-6.340137492057183,2.3460068185587364,0.0004196266162776964,242.73518355584852
1735000001000,US,TAU,BHZ,0,14.463721789702236,37.16766789791998,7.987145832194586e-05,4.036890030034933e-05,7.364817060937811,2.206704534736164,1,-6.195216771979128,1.9785344627732755,0.0005882386789314502,537.5828080475616
1735000002000,IU,ANMO,BHZ,0,22.077754225157392,109.68800385731404,2.57963219804574e-05,3.812796602461287e-05,12.890937201431615,7.106761943483704,1,-7.176884421985189,0.6765704288228273,0.0003325387666779864,2421.6647906098956
1735000003000,IU,ANMO,BHZ,0,18.841172387419903,37.45008198344567,6.28625358610929e-05,8.118045282341798e-06,5.430063597868436,5.291813673484691,1,-6.403216207239298,7.743460319419077,0.0003413475676490197,705.6034505731081
1735000004000,IU,ANMO,BHZ,0,20.550906400813343,39.91446987414941,5.760285233123112e-05,7.88784875220296e-06,13.109920429776484,2.10042718489868,1,-6.479112022006216,7.30264028593539,0.0007551688105906048,820.2785344217285
1735000005000,US,ANMO,BHZ,0,17.152017434346497,93.533808865976,8.345020730203884e-05,1.377463120337321e-05,1.7779492491620266,7.736366402368448,1,-6.157145160269774,6.0582094902587444,0.00014837023341507543,1604.2935203700533
1735000006000,IU,MAJO,BHZ,0,17.922360983910608,59.4713826695594,9.07026189876448e-05,1.8373198953881342e-05,11.763577339525146,4.6285582433472445,1,-6.0847603454947805,4.936653957208047,0.0010669872733586416,1065.867588416129
1735000007000,IU,ANMO,BHZ,0,21.531499986002345,95.43816126506994,2.203520376261294e-06,2.071855127971989e-05,12.789440679293676,1.510289163101585,1,-9.313765858307285,0.10635443140153499,2.8181793137808702e-05,2054.9267679429427
1735000008000,IU,MAJO,BHZ,0,7.7423642037612765,17.190277332082378,6.772797198682048e-05,3.414501223325059e-05,3.136355966141412,5.38783033090547,0,-6.338463856999869,1.9835334417459263,0.00021241902901552285,133.0933878686435
1735000009000,US,MAJO,BHZ,0,13.256774163792231,63.63283130407228,6.131744112853173e-06,3.3056813922088527e-06,6.7400247193969065,2.772392349089672,1,-8.42483195443723,1.8548546880034535,4.132810689364684e-05,843.566074000775
1735000010000,IU,ANMO,BHZ,0,7.087817161850851,13.69749602016109,5.533700784265824e-05,2.2162988591902864e-06,2.899746732623006,6.625854163141117,0,-6.513968655065025,24.967080096257778,0.0001604633076848819,97.0853473660815
1735000011000,IU,ANMO,BHZ,0,24.71636418392288,16.891852380089,2.9475640175324143e-05,1.9899572865723497e-05,10.745759870416158,6.724754514963334,1,-7.061073507557076,1.4812122980219902,0.00031673815135082445,417.5051751673442
1735000012000,IU,COLA,BHZ,0,23.713364812792104,109.7081198678852,3.137088335269198e-05,3.5009602760830035e-05,8.262542636894022,7.852631490982633,1,-7.00694650421762,0.8960625449179968,0.00025920326125864634,2601.5486693526873
1735000013000,IU,TAU,BHZ,0,2.906816661475636,25.316990822935463,3.59428918417833e-05,1.0075049476345888e-05,9.712188527270657,4.513086717171526,0,-6.888773967954116,3.5674797605900403,0.0003490841417826979,73.59185074253458
1735000014000,US,ANMO,BHZ,0,18.22822896786084,68.56627505027387,6.25079524559114e-05,3.225447182218446e-05,3.349061020865061,4.18469815809416,1,-6.4081294536953735,1.9379563554745094,0.00020934294706417933,1249.841761089716
1735000015000,IU,COLA,BHZ,0,23.280711300560316,55.22051628607772,3.407094660120815e-05,1.3361492828044826e-05,3.570314999760083,6.274329238125365,1,-6.9352316003153565,2.5499165436096947,0.00012164401170631826,1285.5728975240645
1735000016000,US,COLA,BHZ,0,6.153232937928671,48.20776588847269,7.353720600843776e-05,4.436126238626906e-05,1.1017112198936423,1.9272945943934856,0,-6.266985749700401,1.6576859242537454,8.101676493912605e-05,296.63361292890437
1735000017000,US,TAU,BHZ,0,15.062740302710475,108.98166802559996,4.10482111718131e-05,4.483665224119752e-05,5.169979260338081,4.828408596551869,1,-6.773411528252934,0.9155036687536127,0.00021221840043225167,1641.562563225818
1735000018000,US,MAJO,BHZ,0,23.05623084452496,12.400573645303846,7.766966830685903e-06,1.5215716611925662e-05,8.616297589338286,4.823733200915957,1,-8.21949709904611,0.5104534990648091,6.692249757970938e-05,285.91048857065783
1735000019000,IU,ANMO,BHZ,0,2.780757507473373,83.0168654793148,7.859222440592662e-05,1.1884690821180408e-05,12.940056252961268,1.6263118596727106,0,-6.209240838319207,6.612840359450328,0.001016987804858046,230.84977192851173
1735000020000,US,TAU,BHZ,0,18.04066614667732,115.97338776349056,2.9290074134677895e-05,2.0859546617278447e-05,10.17044798815087,3.925888598548395,1,-7.066559058190864,1.4041500640963094,0.0002978931755558246,2092.237170540286
1735000021000,IU,ANMO,BHZ,0,8.839027169568666,71.61850018080261,4.3843921080327e-05,1.2406313466417363e-05,6.813246689296395,6.972993589970414,0,-6.716181225315658,3.5339722635399107,0.0002987194501463104,633.0378689418727
1735000022000,US,COLA,BHZ,0,23.2611124936602,113.0504708236401,6.885894443896826e-05,3.3783000242939334e-05,14.320241658714998,6.993075353962622,1,-6.324079278041809,2.0382659952400246,0.0009860767247300546,2629.6797192899426
